track_name,artist_name,total_minutes,play_count,skips,completions,first_play,last_play,skip_rate
Die For You,Joji,5.153016666666667,2,1,1,2025-04-08,2025-11-04,50.0
Super Bowl LIX Halftime Show - Live,Kendrick Lamar,5.116133333333334,2,2,0,2025-04-12,2025-09-15,100.0
The Way I Loved You (Taylor’s Version),Taylor Swift,5.096566666666667,4,3,1,2025-09-11,2025-11-05,75.0
Kaakan,Shankar Mahadevan,4.976483333333333,4,3,1,2025-06-11,2025-09-22,75.0
Aaoge Tum Kabhi,The Local Train,4.9515,1,1,0,2025-09-05,2025-09-05,100.0
betty,Taylor Swift,4.908683333333333,1,0,1,2025-05-13,2025-05-13,0.0
Zara Sa,Pritam,4.7607,2,2,0,2025-05-26,2025-11-08,100.0
Ghalat Fehmi From 'Superstar',qhabb,4.603683333333334,1,1,0,2025-08-09,2025-08-09,100.0
Saajna,Falak Shabbir,4.5968333333333335,1,1,0,2025-11-09,2025-11-09,100.0
Lar Gaiyaan,Zarish Hafeez,4.586883333333334,1,0,1,2025-08-09,2025-08-09,0.0
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,4.536883333333334,4,4,0,2025-02-07,2025-11-19,100.0
Satranga,Arijit Singh,4.5194833333333335,1,0,1,2025-08-21,2025-08-21,0.0
Behkana,Ali Tariq,4.476533333333333,3,2,1,2025-02-07,2025-11-08,66.67
Kuch Is Tarah,Atif Aslam,4.4502,3,3,0,2025-01-29,2025-02-27,100.0
Sajde,Faheem Abdullah,4.349933333333333,1,1,0,2025-08-14,2025-08-14,100.0
Since Tum,JANI,4.262383333333333,1,0,1,2025-09-21,2025-09-21,0.0
"O Sahib - From ""Abdullahpur Ka Devdas""",Adnan Dhool,4.224,9,7,2,2025-02-01,2025-10-27,77.78
Tu Mera Nahi Nescafe Basement,Rizwan Anwar,4.156,1,0,1,2025-01-21,2025-01-21,0.0
Tere pyaar main (Video Version),Kaavish,4.123633333333333,2,2,0,2025-01-05,2025-01-17,100.0
Voh Dekhnay Mein,Ali Zafar,4.115683333333333,1,0,1,2025-12-01,2025-12-01,0.0
Farda,Bayaan,4.0130333333333335,4,4,0,2025-02-07,2025-11-19,100.0
Guilty as Sin?,Taylor Swift,3.9532166666666666,2,2,0,2025-09-10,2025-09-23,100.0
Love Story (Taylor’s Version),Taylor Swift,3.9500166666666665,2,1,1,2025-06-24,2025-09-11,50.0
Haal E - Dil - Female,Himesh Reshammiya,3.905,1,1,0,2025-09-15,2025-09-15,100.0
Chidiya,Vilen,3.894,1,1,0,2025-04-13,2025-04-13,100.0
Jo Tum Mere Ho,Anuv Jain,3.8756166666666667,1,1,0,2025-01-17,2025-01-17,100.0
Delicate,Taylor Swift,3.8708833333333335,1,0,1,2025-06-24,2025-06-24,0.0
