date,total_minutes,tracks_played,skips,completions,unique_artists,skip_rate,hours_played
2025-04-14,3.0869666666666666,3,2,1,2,66.67,0.05
2025-04-18,1.343,1,0,1,1,0.0,0.02
2025-04-19,0.0,1,1,0,1,100.0,0.0
2025-04-20,6.2835,3,1,2,2,33.33,0.1
2025-04-21,0.127,2,0,2,2,0.0,0.0
2025-04-23,40.40735,14,9,5,9,64.29,0.67
2025-04-24,2.9393333333333334,2,0,2,2,0.0,0.05
2025-04-26,31.58995,13,11,2,7,84.62,0.53
2025-05-02,7.812516666666666,4,2,2,3,50.0,0.13
2025-05-12,0.0027833333333333334,1,0,1,1,0.0,0.0
2025-05-13,54.500683333333335,20,14,6,10,70.0,0.91
2025-05-19,0.0,2,2,0,1,100.0,0.0
2025-05-21,0.6661833333333333,1,0,1,1,0.0,0.01
2025-05-22,10.991933333333334,5,2,3,4,40.0,0.18
2025-05-24,8.913216666666667,5,3,2,4,60.0,0.15
2025-05-26,15.627949999999998,7,6,1,4,85.71,0.26
2025-05-27,59.9219,20,13,7,12,65.0,1.0
2025-05-29,2.591666666666667,2,0,2,2,0.0,0.04
2025-06-04,22.794333333333334,7,6,1,6,85.71,0.38
2025-06-05,1.7240000000000002,2,1,1,1,50.0,0.03
2025-06-08,6.316433333333333,2,1,1,2,50.0,0.11
2025-06-11,6.6708,4,2,2,3,50.0,0.11
2025-06-14,2.837666666666667,1,0,1,1,0.0,0.05
2025-06-18,6.921166666666666,3,1,2,3,33.33,0.12
2025-06-19,5.024900000000001,2,1,1,2,50.0,0.08
2025-06-20,19.28325,8,7,1,3,87.5,0.32
2025-06-22,6.55905,3,2,1,1,66.67,0.11
2025-06-24,90.11366666666666,34,19,15,13,55.88,1.5
2025-06-25,10.045116666666667,6,3,3,5,50.0,0.17
2025-06-26,0.22066666666666668,1,0,1,1,0.0,0.0
2025-06-29,10.7078,4,0,4,4,0.0,0.18
2025-07-03,0.7557833333333334,5,3,2,5,60.0,0.01
